date,open,high,low,close,volume
2026-07-15,1784174400,6,1,0,1
2026-07-15,1784165400,1,1,0,2
2026-07-15,1784149200,1,1,0,3
2026-07-15,1784145600,1,1,0,4
2026-07-15,1784142000,2,1,0,5
2026-07-15,1784137500,5,1,0,6
2026-07-15,1784136600,1,2,0,7
2026-07-15,1784134800,1,1,0,8
2026-07-15,1784133900,5,1,0,9
2026-07-15,1784130300,1,1,0,10
2026-07-15,1784129400,5,1,0,11
2026-07-15,1784129400,1,3,1,12
2026-07-15,1784122200,3,1,0,13
2026-07-15,1784116800,2,1,0,14
2026-07-15,1784100600,4,1,0,15
2026-07-15,1784083800,4,1,0,16
2026-07-15,1784073600,2,1,0,17
2026-07-15,1784071800,1,1,0,18
2026-07-15,1784070000,3,3,0,19
2026-07-15,1784070000,1,1,0,20
2026-07-15,1784066100,1,1,0,21
2026-07-15,1784059200,1,1,0,22
2026-07-15,1784058000,1,1,0,23
2026-07-15,1784050200,6,1,0,24
2026-07-15,1784048400,1,1,0,25
2026-07-15,1784046600,3,1,0,26
2026-07-15,1784043000,1,3,1,27
2026-07-15,1784042100,1,1,1,28
2026-07-15,1784034000,1,1,0,29
2026-07-15,1784029500,3,3,0,30
2026-07-15,1784021400,8,3,1,31
2026-07-15,1784019600,2,1,0,32
2026-07-15,1784014200,4,1,0,33
2026-07-15,1784010600,4,1,0,34
2026-07-15,1784003400,6,1,0,35
2026-07-15,1783999800,6,1,1,36
2026-07-15,1783996200,6,1,1,37
2026-07-15,1783994460,3,1,1,38
2026-07-15,1783993500,7,1,0,39
2026-07-15,1783990860,3,1,1,40
2026-07-15,1783990800,7,1,0,41
2026-07-15,1783989900,7,1,0,42
2026-07-15,1783987200,7,1,0,43
2026-07-15,1783987200,2,1,0,44
2026-07-15,1783976400,3,1,0,45
2026-07-15,1783976400,1,1,0,46
2026-07-15,1783976340,1,1,0,47
2026-07-15,1783972800,3,1,0,48
2026-07-15,1783972740,1,1,0,49
2026-07-15,1783971000,1,1,0,50
2026-07-15,1783967400,1,1,0,51
2026-07-15,1783945500,1,1,0,52
2026-07-15,1783941900,1,1,0,53
2026-07-15,1783906200,7,1,0,54
